,Name,Rating_star,Processor,RAM,Operating_system,SSD_Capacity,Display_size,Price,Discount
877,ASUS Chromebook Celeron Dual Core N4020 - (4 GB/32 GB EMMC Storage/Chrome OS) CX1101CMA_ID-GJ0004 / CX...,,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,64 bit Chrome Operating System,29.46 cm (11.6 Inch) Display,1 Year onsite warranty,"₹12,990",48% off
878,DELL Core i5 11th Gen 11320H - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 5518 Thin and ...,,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹70,430",21% off
879,MSI Core i7 13th Gen 1360P - (16 GB/1 TB SSD/Windows 11 Home) Prestige 13Evo A13M-063IN Thin and Light...,,Intel Core i7 Processor (13th Gen),16 GB LPDDR5 RAM,Windows 11 Operating System,1 TB SSD,33.78 cm (13.3 Inch) Display,"₹1,14,990",17% off
880,HP intel Celeron Dual Core N4500 - (4 GB/64 GB EMMC Storage/Chrome OS) 14a- na1004TU Chromebook,,Intel Celeron Dual Core Processor,4 GB LPDDR4 RAM,Chrome Operating System,35.56 cm (14 Inch) Touchscreen Display,1 Year Onsite Warranty,"₹21,990",26% off
881,Lenovo LOQ Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RT...,,Intel Core i7 Processor (13th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹1,14,990",25% off
882,HP Victus Ryzen 5 Hexa Core 5600H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX ...,,AMD Ryzen 5 Hexa Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,"₹64,290",23% off
883,Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi...,,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹73,990",34% off
884,ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 9 Octa Core 6900HX - (32 G...,,AMD Ryzen 9 Octa Core Processor,32 GB DDR5 RAM,64 bit Windows 11 Operating System,2 TB SSD,40.64 cm (16 Inch) Display,"₹3,49,990",25% off
885,Lenovo Thinkpad T14 gen 3 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Pro) Thinkpad T14 Gen3 Busin...,,Intel Core i7 Processor (12th Gen),16 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"₹1,11,990",33% off
886,Lenovo LOQ Ryzen 7 Octa Core 7840HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...,,AMD Ryzen 7 Octa Core Processor,16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,"₹87,990",25% off
